region,division,area,area_url,image_url,latitude,longitude,matched_address
kanto,kanagawa,相模原市中央区相模原,https://weathernews.jp/onebox/livecam/kanto/kanagawa/7CDDE906BD95/,https://gvs.weathernews.jp/livecam/7CDDE906BD95/640/,35.5784483,139.3716612,
chubu,fukui,福井県勝山市(勝山市役所付近)5/10 00:44,https://weathernews.jp/onebox/livecam/chubu/fukui/7CDDE906B976/,https://gvs.weathernews.jp/livecam/7CDDE906B976/640/,36.0609197,136.5005453,
shikoku,ehime,愛媛県松山市5/10 00:44,https://weathernews.jp/onebox/livecam/shikoku/ehime/7CDDE906BE3B/,https://gvs.weathernews.jp/livecam/7CDDE906BE3B/640/,33.8334127,132.7920111,
kanto,tokyo,東京都多摩市豊ヶ丘,https://weathernews.jp/onebox/livecam/kanto/tokyo/7CDDE9068980/,https://gvs.weathernews.jp/livecam/7CDDE9068980/640/,35.6202371,139.4351628,
kinki,shiga,甲賀市水口町5/10 00:25,https://weathernews.jp/onebox/livecam/kinki/shiga/7CDDE907C390/,https://gvs.weathernews.jp/livecam/7CDDE907C390/640/,34.9784676,136.1824516,
kanto,chiba,千葉市緑区誉田町,https://weathernews.jp/onebox/livecam/kanto/chiba/7CDDE905CDD7/,https://gvs.weathernews.jp/livecam/7CDDE905CDD7/640/,35.550689,140.1992174,
kanto,tokyo,渋谷区,https://weathernews.jp/onebox/livecam/kanto/tokyo/7CDDE907C529/,https://gvs.weathernews.jp/livecam/7CDDE907C529/640/,35.6619707,139.703795,
kanto,tokyo,町田市金井ヶ丘,https://weathernews.jp/onebox/livecam/kanto/tokyo/7CDDE907C439/,https://gvs.weathernews.jp/livecam/7CDDE907C439/640/,35.5750786,139.470754,
hokkaido,doutou,北海道野付郡別海町,https://weathernews.jp/onebox/livecam/hokkaido/doutou/7CDDE907B664/,https://gvs.weathernews.jp/livecam/7CDDE907B664/640/,43.3938735,145.1175339,
kanto,ibaraki,つくばみらい市5/10 00:44,https://weathernews.jp/onebox/livecam/kanto/ibaraki/7CDDE90679E8/,https://gvs.weathernews.jp/livecam/7CDDE90679E8/640/,35.9737629,139.9786755,
kanto,tokyo,世田谷区玉川,https://weathernews.jp/onebox/livecam/kanto/tokyo/7CDDE9068529/,https://gvs.weathernews.jp/livecam/7CDDE9068529/640/,35.6125332,139.626083,
tohoku,akita,中通七丁目,https://weathernews.jp/onebox/livecam/tohoku/akita/7CDDE90684C0/,https://gvs.weathernews.jp/livecam/7CDDE90684C0/640/,39.712269,140.126807,
tohoku,yamagata,天童市,https://weathernews.jp/onebox/livecam/tohoku/yamagata/7CDDE9068ABE/,https://gvs.weathernews.jp/livecam/7CDDE9068ABE/640/,38.3625629,140.3770219,
chugoku,okayama,倉敷市玉島柏島,https://weathernews.jp/onebox/livecam/chugoku/okayama/7CDDE90684A1/,https://gvs.weathernews.jp/livecam/7CDDE90684A1/640/,34.5300553,133.6591202,
chubu,aichi,名古屋市港区港明5/10 00:44,https://weathernews.jp/onebox/livecam/chubu/aichi/7CDDE906BC9B/,https://gvs.weathernews.jp/livecam/7CDDE906BC9B/640/,35.1089994,136.8894995,
kyushu,kumamoto,天草市天草町,https://weathernews.jp/onebox/livecam/kyushu/kumamoto/7CDDE907DED2/,https://gvs.weathernews.jp/livecam/7CDDE907DED2/640/,32.4585255,130.1934363,
shikoku,ehime,愛媛県宇和島市,https://weathernews.jp/onebox/livecam/shikoku/ehime/7CDDE9067C1F/,https://gvs.weathernews.jp/livecam/7CDDE9067C1F/640/,33.2235707,132.560384,
shikoku,kagawa,高屋神社｢天空の鳥居｣(観音寺市室本町),https://weathernews.jp/onebox/livecam/shikoku/kagawa/7CDDE907F202/,https://gvs.weathernews.jp/livecam/7CDDE907F202/640/,34.1603942,133.6548423,
chubu,niigata,上越市@山沿い5/10 00:43,https://weathernews.jp/onebox/livecam/chubu/niigata/7CDDE906F438/,https://gvs.weathernews.jp/livecam/7CDDE906F438/640/,37.1478952,138.236135,
kinki,osaka,大阪府門真市　南東,https://weathernews.jp/onebox/livecam/kinki/osaka/7CDDE9068B34/,https://gvs.weathernews.jp/livecam/7CDDE9068B34/640/,34.739572,135.5868996,
kinki,kyoto,京都市山科区5/10 00:25,https://weathernews.jp/onebox/livecam/kinki/kyoto/7CDDE9068F00/,https://gvs.weathernews.jp/livecam/7CDDE9068F00/640/,35.0054979,135.7663079,
tohoku,yamagata,山形県山形市,https://weathernews.jp/onebox/livecam/tohoku/yamagata/7CDDE907B972/,https://gvs.weathernews.jp/livecam/7CDDE907B972/640/,38.2459634,140.3350967,
kanto,kanagawa,横浜市中区,https://weathernews.jp/onebox/livecam/kanto/kanagawa/7CDDE9068D41/,https://gvs.weathernews.jp/livecam/7CDDE9068D41/640/,35.4318677,139.6567802,
chubu,nagano,茅野市豊平,https://weathernews.jp/onebox/livecam/chubu/nagano/7CDDE906F7AE/,https://gvs.weathernews.jp/livecam/7CDDE906F7AE/640/,36.0172269,138.2072766,
shikoku,ehime,今治市,https://weathernews.jp/onebox/livecam/shikoku/ehime/410006703/,https://gvs.weathernews.jp/livecam/410006703/640/,34.0662024,132.9977906,
tohoku,fukushima,福島県いわき市平 南の空,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE907C1E7/,https://gvs.weathernews.jp/livecam/7CDDE907C1E7/640/,37.0574701,140.8922882,
