地点,取得時間,AQI値,大気質ステータス,主要汚染物質,PM2.5,PM10,O3,NO2,温度,湿度,気圧,風速,降水量
神戸市 須磨区,2025-04-12 17:49:51,55.0,平常値,30.0,55.0,19.0,51.0,9.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-12 18:03:06,57.0,平常値,30.0,57.0,20.0,46.0,18.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-12 19:37:11,55.0,平常値,30.0,55.0,18.0,55.0,8.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-12 20:56:18,57.0,平常値,30.0,57.0,17.0,53.0,9.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-12 22:00:06,59.0,平常値,30.0,59.0,21.0,44.0,16.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-12 23:00:07,55.0,平常値,30.0,55.0,16.0,44.0,12.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 00:00:08,46.0,良い,30.0,46.0,16.0,47.0,8.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 01:00:07,42.0,良い,30.0,42.0,16.0,47.0,7.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 01:15:08,61.0,平常値,30.0,61.0,18.0,32.0,19.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 02:30:07,59.0,平常値,30.0,59.0,20.0,30.0,19.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 03:30:07,59.0,平常値,30.0,59.0,17.0,38.0,11.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 04:30:07,68.0,平常値,30.0,68.0,20.0,30.0,17.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 05:30:08,61.0,平常値,30.0,61.0,18.0,32.0,14.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 06:30:07,50.0,平常値,30.0,50.0,17.0,38.0,8.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 07:30:07,42.0,良い,30.0,42.0,10.0,43.0,7.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 08:45:08,42.0,良い,30.0,42.0,12.0,39.0,9.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 09:45:06,42.0,良い,30.0,42.0,10.0,38.0,9.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 10:45:08,25.0,良い,30.0,25.0,10.0,39.0,8.0,17.0,77.0,998.0,3.0,0.0
神戸市 須磨区,2025-04-13 11:45:10,30.0,良い,,30.0,11.0,35.0,12.0,17.0,77.0,998.0,3.0,0.0
