region,division,area,area_url,image_url,latitude,longitude,matched_address
tohoku,fukushima,会津若松市,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE906BC9E/,https://gvs.weathernews.jp/livecam/7CDDE906BC9E/640/,37.4899827,139.9277486,
tohoku,iwate,花巻市石鳥谷町4/30 13:55,https://weathernews.jp/onebox/livecam/tohoku/iwate/7CDDE90685C1/,https://gvs.weathernews.jp/livecam/7CDDE90685C1/640/,39.496963,141.1489714,
tohoku,akita,秋田県大仙市,https://weathernews.jp/onebox/livecam/tohoku/akita/7CDDE907C84B/,https://gvs.weathernews.jp/livecam/7CDDE907C84B/640/,39.453276,140.4754971,
tohoku,fukushima,内郷御台境町六反田4/30 13:55,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE907C45D/,https://gvs.weathernews.jp/livecam/7CDDE907C45D/640/,37.0534775,140.8683967,
tohoku,akita,横手市天下森スキー場,https://weathernews.jp/onebox/livecam/tohoku/akita/7CDDE907C4DE/,https://gvs.weathernews.jp/livecam/7CDDE907C4DE/640/,39.1621786,140.6215066,
tohoku,yamagata,村山市楯岡,https://weathernews.jp/onebox/livecam/tohoku/yamagata/7CDDE9068550/,https://gvs.weathernews.jp/livecam/7CDDE9068550/640/,38.4759903,140.4168594,
tohoku,fukushima,郡山市菜根,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE907F2E6/,https://gvs.weathernews.jp/livecam/7CDDE907F2E6/640/,37.38513580000001,140.3649592,
tohoku,fukushima,福島市松川町,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE9068A70/,https://gvs.weathernews.jp/livecam/7CDDE9068A70/640/,37.7607991,140.4747856,
tohoku,fukushima,福島県福島市岡部字大旦,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE9068456/,https://gvs.weathernews.jp/livecam/7CDDE9068456/640/,37.782007,140.5005975,
tohoku,fukushima,福島市方木田,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE90684E4/,https://gvs.weathernews.jp/livecam/7CDDE90684E4/640/,37.7430371,140.4526133,
tohoku,yamagata,酒田市,https://weathernews.jp/onebox/livecam/tohoku/yamagata/7CDDE907C496/,https://gvs.weathernews.jp/livecam/7CDDE907C496/640/,38.9147809,139.8366435,
tohoku,iwate,岩手県釜石市野田町 野田西公園付近4/30 13:55,https://weathernews.jp/onebox/livecam/tohoku/iwate/7CDDE905CC78/,https://gvs.weathernews.jp/livecam/7CDDE905CC78/640/,39.2557287,141.8217951,
tohoku,miyagi,柴田郡村田町,https://weathernews.jp/onebox/livecam/tohoku/miyagi/410003305/,https://gvs.weathernews.jp/livecam/410003305/640/,38.1185251,140.7224796,
tohoku,iwate,盛岡市高松,https://weathernews.jp/onebox/livecam/tohoku/iwate/7CDDE907AAD8/,https://gvs.weathernews.jp/livecam/7CDDE907AAD8/640/,39.7265926,141.1399722,
tohoku,fukushima,白河市大信,https://weathernews.jp/onebox/livecam/tohoku/fukushima/7CDDE906F33C/,https://gvs.weathernews.jp/livecam/7CDDE906F33C/640/,37.19629219999999,140.2125301,
tohoku,yamagata,山形県東村山郡中山町,https://weathernews.jp/onebox/livecam/tohoku/yamagata/7CDDE9068599/,https://gvs.weathernews.jp/livecam/7CDDE9068599/640/,38.333269,140.281137,
tohoku,miyagi,仙台市若林区古城,https://weathernews.jp/onebox/livecam/tohoku/miyagi/7CDDE907C492/,https://gvs.weathernews.jp/livecam/7CDDE907C492/640/,38.2358042,140.9039325,
