地点,取得時間,AQI値,大気質ステータス,主要汚染物質,PM2.5,PM10,O3,NO2,温度,湿度,気圧,風速,降水量
神戸市 須磨区,2025-04-18 11:00:00+00:00,56.0,中レベルの大気質,o3,,32.53,55.24,9.89,,,,,
神戸市 須磨区,2025-04-18 12:00:00+00:00,62.0,良い大気質,o3,,33.5,47.48,12.49,,,,,
神戸市 須磨区,2025-04-18 13:00:00+00:00,64.0,良い大気質,o3,,30.65,45.47,13.42,,,,,
神戸市 須磨区,2025-04-18 14:00:00+00:00,66.0,良い大気質,o3,,33.26,42.59,13.79,,,,,
神戸市 須磨区,2025-04-18 15:00:00+00:00,65.0,良い大気質,o3,,31.57,44.37,10.49,,,,,
神戸市 須磨区,2025-04-18 16:00:00+00:00,66.0,良い大気質,o3,,31.03,42.32,14.62,,,,,
神戸市 須磨区,2025-04-18 17:00:00+00:00,63.0,良い大気質,o3,,31.51,47.19,7.19,,,,,
神戸市 須磨区,2025-04-18 18:00:00+00:00,62.0,良い大気質,o3,,31.53,48.15,5.61,,,,,
神戸市 須磨区,2025-04-18 19:00:00+00:00,62.0,良い大気質,o3,,29.46,48.18,5.74,,,,,
神戸市 須磨区,2025-04-18 20:00:00+00:00,65.0,良い大気質,o3,,26.67,44.28,8.56,,,,,
神戸市 須磨区,2025-04-18 21:00:00+00:00,67.0,良い大気質,o3,,26.27,41.17,12.29,,,,,
神戸市 須磨区,2025-04-18 22:00:00+00:00,70.0,良い大気質,pm25,,25.83,31.26,14.6,,,,,
神戸市 須磨区,2025-04-18 23:00:00+00:00,71.0,良い大気質,pm25,,26.76,27.06,21.23,,,,,
神戸市 須磨区,2025-04-19 00:00:00+00:00,66.0,良い大気質,pm25,,29.95,16.08,28.74,,,,,
神戸市 須磨区,2025-04-19 01:00:00+00:00,66.0,良い大気質,pm25,,31.48,18.88,36.3,,,,,
神戸市 須磨区,2025-04-19 02:00:00+00:00,63.0,良い大気質,pm25,,37.43,39.29,33.22,,,,,
神戸市 須磨区,2025-04-19 03:00:00+00:00,52.0,中レベルの大気質,pm25,,45.62,27.41,29.99,,,,,
神戸市 須磨区,2025-04-19 04:00:00+00:00,51.0,中レベルの大気質,pm25,,44.63,38.52,27.15,,,,,
神戸市 須磨区,2025-04-19 05:00:00+00:00,50.0,中レベルの大気質,pm25,,45.39,36.74,36.69,,,,,
神戸市 須磨区,2025-04-19 06:00:00+00:00,57.0,中レベルの大気質,pm25,,37.63,46.45,28.0,,,,,
神戸市 須磨区,2025-04-19 07:00:00+00:00,57.0,中レベルの大気質,o3,,34.06,53.55,15.72,,,,,
神戸市 須磨区,2025-04-19 08:00:00+00:00,53.0,中レベルの大気質,o3,,30.93,59.28,12.5,,,,,
神戸市 須磨区,2025-04-19 09:00:00+00:00,48.0,中レベルの大気質,o3,,30.77,65.06,9.14,,,,,
神戸市 須磨区,2025-04-19 10:00:00+00:00,59.0,中レベルの大気質,o3,,29.06,51.32,11.94,,,,,
神戸市 須磨区,2025-04-19 11:00:00+00:00,58.0,中レベルの大気質,o3,,30.05,53.16,8.0,,,,,
神戸市 須磨区,2025-04-19 12:00:00+00:00,58.0,中レベルの大気質,o3,,32.79,53.09,6.71,,,,,
神戸市 須磨区,2025-04-19 13:00:00+00:00,60.0,良い大気質,o3,,30.56,50.23,7.31,,,,,
神戸市 須磨区,2025-04-19 14:00:00+00:00,61.0,良い大気質,o3,,26.65,49.2,7.15,,,,,
神戸市 須磨区,2025-04-19 15:00:00+00:00,63.0,良い大気質,o3,,26.59,47.2,6.71,,,,,
神戸市 須磨区,2025-04-19 16:00:00+00:00,66.0,良い大気質,o3,,26.88,43.36,10.04,,,,,
神戸市 須磨区,2025-04-19 17:00:00+00:00,64.0,良い大気質,o3,,25.99,45.27,7.02,,,,,
神戸市 須磨区,2025-04-19 18:00:00+00:00,64.0,良い大気質,o3,,23.95,45.12,6.14,,,,,
神戸市 須磨区,2025-04-19 19:00:00+00:00,64.0,良い大気質,o3,,25.78,45.12,10.51,,,,,
神戸市 須磨区,2025-04-19 20:00:00+00:00,64.0,良い大気質,o3,,21.08,45.15,7.26,,,,,
