地点,取得時間,AQI値,大気質ステータス,主要汚染物質,PM2.5,PM10,O3,NO2,温度,湿度,気圧,風速,降水量
神戸市 須磨区,2025-04-18 11:00:00+00:00,56,中レベルの大気質,o3,N/A,32.53,55.24,9.89,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 12:00:00+00:00,62,良い大気質,o3,N/A,33.5,47.48,12.49,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 13:00:00+00:00,64,良い大気質,o3,N/A,30.65,45.47,13.42,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 14:00:00+00:00,66,良い大気質,o3,N/A,33.26,42.59,13.79,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 15:00:00+00:00,65,良い大気質,o3,N/A,31.57,44.37,10.49,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 16:00:00+00:00,66,良い大気質,o3,N/A,31.03,42.32,14.62,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 17:00:00+00:00,63,良い大気質,o3,N/A,31.51,47.19,7.19,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 18:00:00+00:00,62,良い大気質,o3,N/A,31.53,48.15,5.61,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 19:00:00+00:00,62,良い大気質,o3,N/A,29.46,48.18,5.74,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 20:00:00+00:00,65,良い大気質,o3,N/A,26.67,44.28,8.56,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 21:00:00+00:00,67,良い大気質,o3,N/A,26.27,41.17,12.29,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 22:00:00+00:00,70,良い大気質,pm25,N/A,25.83,31.26,14.6,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-18 23:00:00+00:00,71,良い大気質,pm25,N/A,26.76,27.06,21.23,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 00:00:00+00:00,66,良い大気質,pm25,N/A,29.95,16.08,28.74,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 01:00:00+00:00,66,良い大気質,pm25,N/A,31.48,18.88,36.3,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 02:00:00+00:00,63,良い大気質,pm25,N/A,37.43,39.29,33.22,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 03:00:00+00:00,52,中レベルの大気質,pm25,N/A,45.62,27.41,29.99,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 04:00:00+00:00,51,中レベルの大気質,pm25,N/A,44.63,38.52,27.15,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 05:00:00+00:00,50,中レベルの大気質,pm25,N/A,45.39,36.74,36.69,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 06:00:00+00:00,57,中レベルの大気質,pm25,N/A,37.63,46.45,28,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 07:00:00+00:00,57,中レベルの大気質,o3,N/A,34.06,53.55,15.72,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 08:00:00+00:00,53,中レベルの大気質,o3,N/A,30.93,59.28,12.5,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 09:00:00+00:00,48,中レベルの大気質,o3,N/A,30.77,65.06,9.14,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 10:00:00+00:00,59,中レベルの大気質,o3,N/A,29.06,51.32,11.94,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 11:00:00+00:00,58,中レベルの大気質,o3,N/A,30.05,53.16,8,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 12:00:00+00:00,58,中レベルの大気質,o3,N/A,32.79,53.09,6.71,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 13:00:00+00:00,60,良い大気質,o3,N/A,30.56,50.23,7.31,N/A,N/A,N/A,N/A,N/A
神戸市 須磨区,2025-04-19 14:00:00+00:00,61,良い大気質,o3,N/A,26.65,49.2,7.15,N/A,N/A,N/A,N/A,N/A
