dateTime,regionCode,aqi_code,aqi_displayName,aqi_value,co_concentration,no_concentration,no2_concentration,o3_concentration,so2_concentration,pm10_concentration,aqi_category,dominantPollutant,pm2_5_concentration,nh3_concentration
2025-04-04 23:00:00+00:00,jp,uaqi,Universal AQI,77.0,200.25,0.04,18.34,29.15,0.0,18.66,,,,
2025-04-05 00:00:00+00:00,jp,uaqi,Universal AQI,82.0,281.25,0.12,23.17,23.54,0.0,16.16,,,,
2025-04-05 01:00:00+00:00,jp,uaqi,Universal AQI,79.0,364.37,2.1,28.18,18.86,0.0,18.68,,,,
2025-04-05 02:00:00+00:00,jp,uaqi,Universal AQI,72.0,300.14,1.33,16.56,35.42,0.35,16.4,,,,
2025-04-05 03:00:00+00:00,jp,uaqi,Universal AQI,68.0,300.84,1.99,12.97,40.21,1.0,20.87,,,,
2025-04-05 04:00:00+00:00,jp,uaqi,Universal AQI,69.0,218.43,3.87,16.16,38.7,1.0,20.05,,,,
2025-04-05 05:00:00+00:00,jp,uaqi,Universal AQI,71.0,217.92,6.59,17.85,37.19,1.0,17.38,,,,
2025-04-05 06:00:00+00:00,jp,uaqi,Universal AQI,67.0,299.13,3.82,14.88,42.01,1.01,20.57,,,,
2025-04-05 07:00:00+00:00,jp,uaqi,Universal AQI,58.0,217.75,1.85,10.06,52.49,0.36,16.5,,,,
2025-04-05 08:00:00+00:00,jp,uaqi,Universal AQI,55.0,201.09,0.1,6.72,56.39,0.36,15.77,,,,
2025-04-05 09:00:00+00:00,jp,uaqi,Universal AQI,53.0,217.75,0.04,3.71,59.22,1.0,18.29,,,,
2025-04-05 10:00:00+00:00,jp,uaqi,Universal AQI,54.0,217.63,0.1,6.98,58.0,1.0,17.68,,,,
2025-04-05 11:00:00+00:00,jp,uaqi,Universal AQI,57.0,217.63,0.06,11.95,54.18,1.0,18.64,,,,
2025-04-05 12:00:00+00:00,jp,uaqi,Universal AQI,58.0,218.45,0.02,12.23,52.8,1.0,17.64,,,,
2025-04-05 13:00:00+00:00,jp,uaqi,Universal AQI,63.0,299.44,0.02,18.03,46.44,1.01,17.62,,,,
2025-04-05 14:00:00+00:00,jp,uaqi,Universal AQI,67.0,217.76,0.06,19.8,42.06,1.01,16.5,,,,
2025-04-05 15:00:00+00:00,jp,uaqi,Universal AQI,65.0,299.24,0.0,16.59,44.45,1.0,19.17,,,,
2025-04-05 16:00:00+00:00,jp,uaqi,Universal AQI,72.0,299.38,0.04,22.41,35.84,1.0,19.95,,,,
